,comment text,toxic,score,contains toxic keywords
0,hello everyone im just here to tell you that youre all freaks,yes,0.62136006,2
1,  to be blunt so what  what does that have to do with improving the article   ,no,0.104795754,1
2,agreed moreover the recent additions place an undue emphasis on arguments in court briefs much of which will become far less salient after the supreme court actually decides the case in a few months –  ·,no,0.021314176,0
3,thank you for your suggestion when you feel an article needs improvement please feel free to make those changes  wikipedia is a wiki so anyone can edit almost any article by simply following the  link at the top the wikipedia community encourages you to be bold in updating pages dont worry too much about making honest mistakes — theyre likely to be found and corrected quickly if youre not sure how editing works check out how to edit a page or use the sandbox to try out your editing skills  new contributors are always welcome you dont even need to log in although there are many reasons why you might want to,no,0.028385026,6
4,  i am not asking that the article itself draw any conclusions and the rest of your remarks are exactly the kind of synthesis that i desire my remarks are meant to move us past the conflict on the talk page our sources are of course the verifiable secondary sources and we are not to do original research as ctswynekan has said wikipedia is a tertiary source frankly its enough for me that the various christian views are presented fairly and accurately the various jewish views are presented fairly and accurately the various historical views whether by specialists or nonspecialists are presented fairly and accurately and all other views are presented fairly and accurately all should be given the appropriate weight and context that is enough of a synthesis for me   but we all have our subjective views and many of our views have clashed hence we have been bogged down in one paragraph for far too long what bothers me is the binary thinking evidenced by some many not all which has polarized the debate we should also of course be sure not to confuse our various subjective viewpoints with the objective actual verifiable and factual as someone once said so in the end i essentially agree with you my remarks on thesisantithesissynthesis and the rest have to do with the debate on this page not with the article itself i want us to move past conflict so we can examine the verifiable sources and put aside our own views while still making sure that we any we are accurately represented as are the views of others to paraphrase ross perot everybody stop fighting and get to work if youll check youll notice that ive done very little work on the article itself most of my efforts have been focused on the talk page  npov when we reach it will be a synthesis accurately reporting the views of all and referenced to the appropriate verifiable sourcesthat said i have been as frustrated as anyone else and needed to vent my spleen which perhaps presented my pov more strongly than i have in the past does that make it trinary my spleen has been vented my comments will remain on my user page at least until we formulate a second paragraph that does exactly as you say and is accepted by all it may go back if we run into further unresolved conflict  my claim that it is a conundrum alludes to how the issue of historicity is handled at socrates where any debate has been much more peaceful and civilized    ,no,0.19504376,9
5,please stop your disruptive editing if you continue to vandalize wikipedia as you did at warwick school you will be blocked from editing,no,0.25462922,5
6, so i propose merging african bush elephant into african savanna elephant,yes,0.4013387,0
7, a question   i dont understand how they play why they play only 34 games when there are 20 teams  19 x 2  38 games  portland timbers played 3 teams with la galaxy how   maybe someone can explain to me,no,0.01834645,0
8,rob i actually like having you around for no other reason than you have a different pov from those with a christian perspective  however i also find you to be overly disruptive  yes i understand as well as everyone else your position that factual evidence does not exist  yes we understand that there are scholars that support that position  no they are not the majority  they are not even a significant minority  they are a very small group that contends jesus did not exist  you have registered your pov and we are aware of it  i ask that you now move on and address the article as a whole and accept that your position has already been accounted for in the article  when you fight so hard and become so obstinate you lose the respect of your fellow editors and your pov is shut out almost completely  you have become a source of conflict and contention  please recognize that your current methods are not working  find another way to interact with your fellow editors so that your pov is at least a chance of being heard,no,0.24442963,5
9,um that is your opinion i belive dbz tenchaichi 3 and the last of the original bodikai for the ps2 bodikai 3 is just as good as virtua fighter tekken doa and other well known fighting games so come into reality and notice that everything you think is fact that is just base on what you think is highly unimpaortant and is mediocre in the eyes of others that actually do research on the subject you havent even stated anything about the game itself you just started of by saying thats a crappy series or its not any good lol anyway even if you did your research with hardcore evidence that say these games suck huge balls or is poo and the games are a craptistic series and user sabishi kage is indeed a suck up and a yes man that is not neaded here on wikipedia and also if you two are going to start an edit war over something that is not even related to this article and is childish as kim kusanagi paragraph maybe you to should exchange your yahoo user names or myspace user names or whatever to argue but not here on this disscussion page and kim kusanagi when you screw things up you deserved to be bashed and even physically punishedwow you need therapy about child hood realated issues buddy mabey its because of your dad your mom or possibly your grandfather beating on you that is obviously some words said by someone that needs help mentaly most likely due to incidents done when you were a child i mean who say or even type something like that you have only added a useless sentence to this page until you came up with this paragraph that shows you have anger issues you used to get beaten on and you belive what you say goes without any research more clearly without say get your facts straight lol   ,yes,0.39231625,13
